division,spare_code,spare_description,grc_number,grc_date,issue_qty,grc_pending_qty,receive_qty,good_qty,defective_qty,returned_qty,returning_qty,actual_pending_qty,receive_date,dispute_remark,challan_number,challan_date,docket_number,sent_through,challan_by,status,damaged_qty,short_qty,alt_spare_qty,alt_spare_code,invoice
PUMP,STPM1MU02AAP035,CABLE SET STPM12 & G052(1PH) 3X0.75MM^2,916068361,2025-08-19,5,5,,0,0,0,0,5,,,,,22653,NAT AIRWAYS,D Manna,N,,,,, 
PUMP,STPM1PU09AAB001,IMPELLER FOR STPM22 1PH & 3PH,916068361,2025-08-19,2,2,,0,0,0,0,2,,,,,22653,NAT AIRWAYS,D Manna,N,,,,, 
PUMP,MB111P171AAE001,"IMPELLER FOR P10.2,PH10.2,MIP10.2",916068851,2025-08-28,2,2,,0,0,0,0,2,,,,,22653,NAT AIRWAYS,D Manna,N,,,,, 
PUMP,STPM1M113AAP035,CABLE SET STPM22(1PH/CCPM12(1PH)3X1.5M^2,916068962,2025-08-31,1,1,,0,0,0,0,1,,,,,22653,NAT AIRWAYS,D Manna,N,,,,, 
PUMP,STPCSA151AAE001,IMPELLER FOR STPCS7.52(3PH) (B),916069069,2025-09-02,3,3,,0,0,0,0,3,,,,,22653,NAT AIRWAYS,D Manna,N,,,,, 
PUMP,MINI1PU01ADE021,"NRV MM-MW-MM+-MP-MF II,MM-MS-MM+-MP I,MX",916069494,2025-09-09,10,10,,0,0,0,0,10,,,,,22653,NAT AIRWAYS,D Manna,N,,,,, 
PUMP,MINI1PU17ALM014,IMPELLER FOR MINI CREST & SRTONG I,916071105,2025-10-17,2,2,,0,0,0,0,2,,,,,22653,NAT AIRWAYS,D Manna,N,,,,, 
PUMP,MINI1PU01ACL035,CAP. MM-MS-MR-MM+-MP-MT II,916071091,2025-10-17,5,5,,0,0,0,0,5,,,,,22653,NAT AIRWAYS,D Manna,N,,,,, 
PUMP,STPM1MU02AAP035,CABLE SET STPM12 & G052(1PH) 3X0.75MM^2,916071091,2025-10-17,2,2,,0,0,0,0,2,,,,,22653,NAT AIRWAYS,D Manna,N,,,,, 
PUMP,MINI1MU03ACJ045,COOLING FAN 03 MINI SERIES 80F,916071867,2025-10-30,5,5,,0,0,0,0,5,,,,,22653,NAT AIRWAYS,D Manna,N,,,,, 
PUMP,MINI1MU01ACJ045,FAN FOR MINI SERIES 71F PERFECT OF ID-12,916071868,2025-10-30,10,10,,0,0,0,0,10,,,,,22653,NAT AIRWAYS,D Manna,N,,,,, 
PUMP,MINI1PU16ALM014,IMPELLER FOR MINI CREST & STRONG II,916072500,2025-11-12,2,2,,0,0,0,0,2,,,,,22653,NAT AIRWAYS,D Manna,N,,,,, 
PUMP,MINIXM122AET017,CAPACITOR(10MFD) MINI SAPPHIRE&CHROME II,916072705,2025-11-18,5,5,,0,0,0,0,5,,,,,22653,NAT AIRWAYS,D Manna,N,,,,, 
PUMP,MINI1PU03ALM014,IMPELLER FOR MR-MS-MI-MF-MA II,916072904,2025-11-20,2,2,,0,0,0,0,2,,,,,22653,NAT AIRWAYS,D Manna,N,,,,, 
PUMP,STPM1MU02AAP035,CABLE SET STPM12 & G052(1PH) 3X0.75MM^2,916073125,2025-11-24,5,5,,0,0,0,0,5,,,,,22653,NAT AIRWAYS,D Manna,N,,,,, 
PUMP,CF111SU07AHK034,PRESSURE TANK 2LTR FOR MINI FORCE II,916073125,2025-11-24,10,10,,0,0,0,0,10,,,,,22653,NAT AIRWAYS,D Manna,N,,,,, 
PUMP,CF111SU01AHQ035,PRESSURE SWITCH DANFOSS FOR FORCE SERIES,916073125,2025-11-24,6,6,,0,0,0,0,6,,,,,22653,NAT AIRWAYS,D Manna,N,,,,, 
PUMP,MINI1MU01ACG045,FAN COVER FOR MINI SERIES 71F PERFECT,916073344,2025-11-29,10,10,,0,0,0,0,10,,,,,22653,NAT AIRWAYS,D Manna,N,,,,, 
PUMP,STPG052(1PH)-8,0.37/0.5KW/HP 1PH SS SUB SEW WATER PUMP,916073934,2025-12-12,1,1,,0,0,0,0,1,,,,,22653,NAT AIRWAYS,D Manna,N,,,,, 
PUMP,MINI PACIFIC I,0.75/1.0KW/HP 1PH 25X25 SPMINI PACIFIC I,916073934,2025-12-12,1,1,,0,0,0,0,1,,,,,22653,NAT AIRWAYS,D Manna,N,,,,, 
PUMP,DCP11M114ACM040,DCP STD 100 MFD RUN CAP,916066918,2025-07-22,4,3,,0,0,0,0,3,,,,,22653,NAT AIRWAYS,D Manna,N,,,,, 
PUMP,MINI1MU04ADU017,"TERMINAL BOX MM-MM+ I & MM I(3PH), MX",916066919,2025-07-22,2,1,,0,0,0,0,1,,,,,22653,NAT AIRWAYS,D Manna,N,,,,, 
PUMP,SWJ11M105ACG034,"FAN COVER FOR SWJ50, SWJ100,50SS,100SS",916066920,2025-07-22,2,2,,0,0,0,0,2,,,,,22653,NAT AIRWAYS,D Manna,N,,,,, 
PUMP,STPM1P151AAB001,IMPELLER FOR STPM12(1PH) & (3PH) (B),916067303,2025-07-28,3,3,,0,0,0,0,3,,,,,22653,NAT AIRWAYS,D Manna,N,,,,, 
PUMP,MB111P127AAA001,VOLUTE FOR MBK22(1PH)/MBM22(1PH),916068361,2025-08-19,1,1,,0,0,0,0,1,,,,,22653,NAT AIRWAYS,D Manna,N,,,,, 
PUMP,MB111P130AAE001,IMPELLER FOR MBM22,916068361,2025-08-19,100,100,,0,0,0,0,100,,,,,22653,NAT AIRWAYS,D Manna,N,,,,, 
FANS,S-KBPRAV248CCR3S3B,S-PKD BLD PR AVR2 1.2M CONCH CREAM 3B 3S,916073210,2025-11-26,2,2,1,0,0,0,0,2,2026-01-01,WRONG SPARE ISSUED,,,TCFGVHBJ,RDFGHVBN,Sukanya Manna,N,0,0,1,CFSBSBZ48LB1S, 
SDA,S-BRIOTHRMOSTAT,BRIO THERMOSTATE,916073207,2025-11-26,2,2,,0,0,0,0,2,,,G00001,2026-01-02,251362,NAT AIRWAYS,D Manna,N,,,,,N
SDA,S-BRIOTHRMOSTAT,BRIO THERMOSTATE,916073672,2025-12-06,1,1,,0,0,0,0,1,,,G00001,2026-01-02,251362,NAT AIRWAYS,D Manna,N,,,,,N
SDA,S-FM5002JMAINBDY,MAIN BODY FRESH MIX5002J,916072509,2025-11-12,1,1,,0,0,0,0,1,,,G00001,2026-01-02,251362,NAT AIRWAYS,D Manna,N,,,,,N
SDA,S-GNEO5003JMNBDY,GNEO 500W 3J MAIN BODY,916073405,2025-11-30,1,1,,0,0,0,0,1,,,G00001,2026-01-02,251362,NAT AIRWAYS,D Manna,N,,,,,N
LIGHT,R36NDTA,DRIVER FOR CCR-145-36W TILES RKL,916074267,2025-12-21,5,5,,0,0,,,5,,,,,,,,N,,,,,N
LIGHT,S0BP0001,LED POPULATED MCPCB FOR TLI300403-A2,916074267,2025-12-21,5,5,,0,0,,,5,,,,,,,,N,,,,,N
LIGHT,S0BP0011,LED MCPCB MODULE TLF500183-E4,916074267,2025-12-21,10,10,,0,0,,,10,,,,,,,,N,,,,,N
LIGHT,S0BP0012,LED MODULE TLF500182-E4,916074267,2025-12-21,10,10,,0,0,,,10,,,,,,,,N,,,,,N
LIGHT,S0DQL1-54-700-40W,DRIVER FOR LSTP-36-CDL & LSTP-40-CDL,916074268,2025-12-21,10,10,,0,0,,,10,,,,,,,,N,,,,,N
LIGHT,S0DRVCR-18W,DRIVER FOR LSCSM-18W & LSCRM-18W,916074268,2025-12-21,10,10,,0,0,,,10,,,,,,,,N,,,,,N
LIGHT,S0DRVQ-36-250-12W,DRIVER FOR MAYA LBLA1/2/3 WITH V8 LED,916073808,2025-12-09,10,10,,0,0,,,10,,,,,,,,N,,,,,N
LIGHT,S0DRVQ-36-250-12W,DRIVER FOR MAYA LBLA1/2/3 WITH V8 LED,916074268,2025-12-21,5,5,,0,0,,,5,,,,,,,,N,,,,,N
LIGHT,S0DRVQS-60-580-36W,DRIVER FOR LWV11-36-CDL,916073808,2025-12-09,3,3,,0,0,,,3,,,,,,,,N,,,,,N
LIGHT,S0DVCTL-100W700-FG,DRIVER 100W DRV-C4-100W-700MA,916074268,2025-12-21,20,20,,0,0,,,20,,,,,,,,N,,,,,N
LIGHT,S0DVCTL-35W-700-FG,DRV-C4-35W-700-IH PACKED,916073958,2025-12-12,10,10,,0,0,,,10,,,,,,,,N,,,,,N
LIGHT,S0DVCTL-35W-700-FG,DRV-C4-35W-700-IH PACKED,916074268,2025-12-21,5,5,,0,0,,,5,,,,,,,,N,,,,,N
LIGHT,S0DVCTL-45W-700-FG,DRV-C4-45W-700-IH PACKED,916074268,2025-12-21,10,10,,0,0,,,10,,,,,,,,N,,,,,N
LIGHT,S0DVCTL-60W-700-FG,DRV-C4-60W-700-IH PACKED,916074268,2025-12-21,10,10,,0,0,,,10,,,,,,,,N,,,,,N
LIGHT,S0DVCTL-75W-700-FG,DRV-C4-75W-700-IH PACKED,916074268,2025-12-21,10,10,,0,0,,,10,,,,,,,,N,,,,,N
LIGHT,S0DVEL-65-700-45W,DRIVER FOR LSTP-45-CDL-M,916074267,2025-12-21,10,10,,0,0,,,10,,,,,,,,N,,,,,N
LIGHT,S0DVEXC3-24W-700,24W C3 EXCELITE DRIVER,916074268,2025-12-21,4,4,,0,0,,,4,,,,,,,,N,,,,,N
LIGHT,S0DVEXC4-50W-700,50W C4 DRIVER,916074269,2025-12-21,30,30,,0,0,,,30,,,,,,,,N,,,,,N
LIGHT,S0DVEXC4-60W-700,60W C4 DRIVER,916074268,2025-12-21,50,50,,0,0,,,50,,,,,,,,N,,,,,N
LIGHT,S0DVEXC4-60W-700,60W C4 DRIVER,916074269,2025-12-21,10,10,,0,0,,,10,,,,,,,,N,,,,,N
LIGHT,S0DVEXC4-75W-700,75W C4 DRIVER,916074268,2025-12-21,20,20,,0,0,,,20,,,,,,,,N,,,,,N
LIGHT,S0DVEXC4-75W-700,75W C4 DRIVER,916074269,2025-12-21,20,20,,0,0,,,20,,,,,,,,N,,,,,N
SDA,S-BRIOSOLPLTWHE,BRIO SOLE PLATE WITH H.E.,916072951,2025-11-20,1,1,,0,0,0,0,1,,,G00001,2026-01-02,251362,NAT AIRWAYS,D Manna,N,,,,,N
SDA,S-BRIOSOLPLTWHE,BRIO SOLE PLATE WITH H.E.,916073672,2025-12-06,1,1,,0,0,0,0,1,,,G00001,2026-01-02,251362,NAT AIRWAYS,D Manna,N,,,,,N
SDA,S-BRIOTHRMLFUSE,BRIO THERMAL FUSE,916073672,2025-12-06,1,1,,0,0,0,0,1,,,G00001,2026-01-02,251362,NAT AIRWAYS,D Manna,N,,,,,N
SDA,S-FM5002JJUICVR,JUICE COVER FRESH MIX5002J,916072532,2025-11-14,2,2,,0,0,0,0,2,,,G00001,2026-01-02,251362,NAT AIRWAYS,D Manna,N,,,,,N
SDA,S-GNEO5003JMNBDY,GNEO 500W 3J MAIN BODY,916074084,2025-12-16,1,1,,0,0,0,0,1,,,G00001,2026-01-02,251362,NAT AIRWAYS,D Manna,N,,,,,N
SDA,S-GNEO5003JTPCVR,GNEO 500W 3J TOP COVER,916073405,2025-11-30,1,1,,0,0,0,0,1,,,G00001,2026-01-02,251362,NAT AIRWAYS,D Manna,N,,,,,N
SDA,S-GNEO5003JTPCVR,GNEO 500W 3J TOP COVER,916074084,2025-12-16,1,1,,0,0,0,0,1,,,G00001,2026-01-02,251362,NAT AIRWAYS,D Manna,N,,,,,N
SDA,S-INSTAGLDSOLEPLT,INSTAGLIDE SOLE PLATE WITH HEATING ELEM,916074084,2025-12-16,2,2,,0,0,0,0,2,,,G00001,2026-01-02,251362,NAT AIRWAYS,D Manna,N,,,,,N
SDA,S-INSTSRV2000DSPCB,NEW 2000W INSTASERV DISPLAY PCB,916073511,2025-12-04,2,2,,0,0,0,0,2,,,G00001,2026-01-02,251362,NAT AIRWAYS,D Manna,N,,,,,N
SDA,S-NGLAPRO5BLENDJR,NIGELLA PRO 500W BLDR JR ASLY WITH LID,916072567,2025-11-14,1,1,,0,0,0,0,1,,,G00001,2026-01-02,251362,NAT AIRWAYS,D Manna,N,,,,,N
SDA,S-NGLAPRO5CHTJR,NIGELLA PRO 500W CHUTNY JAR WITH LID,916072610,2025-11-15,2,2,,0,0,0,0,2,,,G00001,2026-01-02,251362,NAT AIRWAYS,D Manna,N,,,,,N
SDA,S-NGLAPRO5CHTJR,NIGELLA PRO 500W CHUTNY JAR WITH LID,916072613,2025-11-15,1,1,,0,0,0,0,1,,,G00001,2026-01-02,251362,NAT AIRWAYS,D Manna,N,,,,,N
SDA,S-NGLAPRO5MAINMTR,NIGELLA PRO 500W JAR MAIN MOTOR,916073405,2025-11-30,2,2,,0,0,0,0,2,,,G00001,2026-01-02,251362,NAT AIRWAYS,D Manna,N,,,,,N
SDA,S-NGLAPRO5WETJRSET,NIGELLA PRO 500W WET JAR ASLY WITH LID,916072567,2025-11-14,1,1,,0,0,0,0,1,,,G00001,2026-01-02,251362,NAT AIRWAYS,D Manna,N,,,,,N
SDA,S-NIGELA3JCHTJASLY,NIGELA 500W 3 JAR CHT JAR ASLY WITH LID,916074077,2025-12-16,5,5,,0,0,0,0,5,,,G00001,2026-01-02,251362,NAT AIRWAYS,D Manna,N,,,,,N
SDA,S-QSTADLX3JWTJASLY,QUESTADLX 500W 3 JAR WET JARASLYWITH LID,916074077,2025-12-16,2,2,,0,0,0,0,2,,,G00001,2026-01-02,251362,NAT AIRWAYS,D Manna,N,,,,,N
SDA,S-QUBE3J500WMOTR,QUBE 3J 500W MAIN MOTOR,916073713,2025-12-07,2,2,,0,0,0,0,2,,,G00001,2026-01-02,251362,NAT AIRWAYS,D Manna,N,,,,,N
SDA,S-QUBE3J500WRYJAS,QUBE 3J 500W DRY JAR ASSEMBLY,916073713,2025-12-07,2,2,,0,0,0,0,2,,,G00001,2026-01-02,251362,NAT AIRWAYS,D Manna,N,,,,,N
SDA,S-RITZSMAINMOTR,RITZS MG MAIN MOTOR,916073124,2025-11-24,2,2,,0,0,0,0,2,,,G00001,2026-01-02,251362,NAT AIRWAYS,D Manna,N,,,,,N
SDA,S-QUBE3J500WMOTR,QUBE 3J 500W MAIN MOTOR,916073823,2025-12-10,1,1,1,0,0,0,0,1,2026-01-03,,G00001,2026-01-02,251362,NAT AIRWAYS,D Manna,N,0,0,0,,N
SDA,S-QUBE3J500WRYJAS,QUBE 3J 500W DRY JAR ASSEMBLY,916073823,2025-12-10,1,1,0,0,0,0,0,1,2026-01-03,,G00001,2026-01-02,251362,NAT AIRWAYS,D Manna,N,1,0,0,,N
SDA,S-QUBE3J500WTOPCVR,QUBE 3J 500W MG TOP COVER,916073823,2025-12-10,1,1,0,0,0,0,0,1,2026-01-03,,G00001,2026-01-02,251362,NAT AIRWAYS,D Manna,N,0,1,0,,N
LIGHT,S0DVEXSQ-25W-700,25W SQUARE EXCELLITE DRIVER,916074268,2025-12-21,5,5,,0,0,,,5,,,,,,,,N,,,,,N
LIGHT,S0DVEXSQ-25W-700,25W SQUARE EXCELLITE DRIVER,916074269,2025-12-21,5,5,,0,0,,,5,,,,,,,,N,,,,,N
LIGHT,S0DVEXSQ-30W-700,30W SQUARE EXCELLITE DRIVER,916073767,2025-12-09,5,5,,0,0,,,5,,,,,,,,N,,,,,N
LIGHT,S0DVEXSQ-30W-700,30W SQUARE EXCELLITE DRIVER,916074270,2025-12-21,5,5,,0,0,,,5,,,,,,,,N,,,,,N
